1,1,501.44,400.52,59.90,80.10,1,-1,-1
1,2,800.36,599.75,71.23,80.75,1,-1,-1
2,1,503.26,400.94,59.36,79.71,1,-1,-1
2,2,801.49,600.99,72.15,80.98,1,-1,-1
3,1,505.35,400.33,58.98,80.66,1,-1,-1
3,2,802.94,601.85,72.42,79.71,1,-1,-1
4,1,506.72,401.91,59.42,79.78,1,-1,-1
4,2,804.26,602.08,72.04,79.80,1,-1,-1
5,1,508.59,402.87,58.91,79.48,1,-1,-1
5,2,805.83,602.57,72.85,80.55,1,-1,-1
6,1,510.09,403.68,58.35,79.97,1,-1,-1
6,2,807.25,602.06,72.24,82.45,1,-1,-1
7,1,511.75,403.29,59.38,81.20,1,-1,-1
7,2,808.54,602.07,72.30,83.44,1,-1,-1
8,1,513.02,403.22,59.48,81.14,1,-1,-1
8,2,810.06,602.34,71.63,83.30,1,-1,-1
9,1,514.53,403.08,59.68,81.19,1,-1,-1
9,2,811.86,602.41,71.39,82.64,1,-1,-1
10,1,516.17,402.56,58.97,82.62,1,-1,-1
10,2,813.73,603.52,70.99,81.69,1,-1,-1
11,1,517.38,402.28,59.50,82.92,1,-1,-1
11,2,815.54,604.47,71.02,81.20,1,-1,-1
12,1,519.71,402.90,58.19,83.56,1,-1,-1
12,2,817.26,605.19,71.23,80.74,1,-1,-1
13,1,520.43,403.03,58.13,84.74,1,-1,-1
13,2,818.74,605.51,71.34,79.78,1,-1,-1
14,1,521.90,402.58,58.01,85.44,1,-1,-1
14,2,821.18,605.42,71.19,79.29,1,-1,-1
15,1,523.84,402.16,58.03,86.47,1,-1,-1
15,2,823.11,606.09,70.22,79.69,1,-1,-1
16,1,525.81,403.31,58.31,86.50,1,-1,-1
16,2,824.54,606.77,70.42,79.57,1,-1,-1
17,1,526.59,403.57,58.97,86.81,1,-1,-1
17,2,825.88,607.85,71.68,78.80,1,-1,-1
18,1,528.60,403.94,57.90,86.30,1,-1,-1
18,2,828.10,608.28,71.09,78.38,1,-1,-1
19,1,530.77,404.16,57.85,86.13,1,-1,-1
19,2,828.72,608.43,72.39,79.21,1,-1,-1
